type,latency,urevent
keyboard0,1,1
15,10565,2
keyboard0,23317,3
17,23907,4
12,23932,5
2,24107,6
2,24358,7
2,24616,8
2,24867,9
12,25033,10
2,25209,11
2,25459,12
2,25717,13
2,25968,14
12,26134,15
2,26310,16
2,26560,17
2,26818,18
2,27069,19
12,27235,20
2,27411,21
2,27661,22
2,27920,23
2,28170,24
12,28337,25
2,28512,26
2,28762,27
2,29021,28
2,29271,29
12,29438,30
2,29613,31
2,29863,32
2,30122,33
2,30372,34
12,30539,35
2,30714,36
2,30965,37
2,31223,38
2,31473,39
12,31640,40
2,31815,41
2,32066,42
2,32324,43
2,32574,44
12,32741,45
2,32916,46
2,33167,47
2,33426,48
2,33676,49
12,33843,50
2,34017,51
2,34268,52
2,34527,53
2,34777,54
12,34944,55
2,35119,56
2,35369,57
2,35628,58
2,35878,59
12,36045,60
2,36220,61
2,36470,62
2,36729,63
2,36979,64
12,37146,65
2,37321,66
2,37571,67
2,37830,68
2,38080,69
12,38247,70
2,38422,71
2,38672,72
2,38931,73
2,39181,74
12,39348,75
2,39523,76
2,39773,77
2,40032,78
2,40282,79
12,40449,80
2,40624,81
2,40874,82
2,41133,83
2,41383,84
12,41550,85
2,41726,86
2,41976,87
2,42234,88
2,42485,89
12,42651,90
2,42827,91
2,43077,92
2,43335,93
2,43586,94
12,43752,95
2,43928,96
2,44178,97
2,44437,98
2,44687,99
12,44854,100
2,45029,101
2,45279,102
2,45538,103
2,45788,104
12,45955,105
2,46130,106
2,46380,107
2,46639,108
2,46889,109
12,47056,110
2,47231,111
2,47482,112
2,47740,113
2,47990,114
12,48157,115
2,48332,116
2,48583,117
2,48841,118
2,49091,119
12,49258,120
2,49433,121
2,49684,122
2,49942,123
2,50193,124
12,50360,125
2,50534,126
2,50785,127
2,51043,128
2,51294,129
12,51461,130
2,51635,131
2,51886,132
2,52144,133
2,52395,134
12,52562,135
2,52737,136
2,52987,137
2,53246,138
2,53496,139
12,53663,140
2,53838,141
2,54088,142
2,54347,143
2,54597,144
12,54764,145
2,54939,146
2,55189,147
2,55448,148
2,55698,149
12,55865,150
2,56040,151
2,56290,152
2,56550,153
2,56800,154
2,57058,155
2,57308,156
keyboard0,57718,157
keyboard0,65840,158
11,66092,159
1,66267,160
1,66518,161
1,66776,162
1,67026,163
11,67193,164
1,67368,165
1,67619,166
1,67877,167
1,68128,168
11,68295,169
1,68469,170
1,68720,171
1,68979,172
1,69229,173
11,69396,174
1,69570,175
1,69821,176
1,70080,177
1,70330,178
11,70497,179
1,70672,180
1,70922,181
1,71181,182
1,71431,183
11,71598,184
1,71773,185
1,72023,186
1,72282,187
1,72532,188
11,72699,189
1,72874,190
1,73124,191
1,73383,192
1,73633,193
11,73800,194
1,73975,195
1,74225,196
1,74484,197
1,74734,198
11,74901,199
1,75076,200
1,75326,201
1,75585,202
1,75835,203
11,76002,204
1,76178,205
1,76428,206
1,76686,207
1,76936,208
11,77103,209
1,77279,210
1,77529,211
1,77787,212
1,78037,213
11,78204,214
1,78380,215
1,78630,216
1,78889,217
1,79139,218
11,79306,219
1,79481,220
1,79731,221
1,79990,222
1,80240,223
11,80407,224
1,80582,225
1,80832,226
1,81091,227
1,81342,228
11,81508,229
1,81683,230
1,81934,231
1,82192,232
1,82442,233
11,82609,234
1,82784,235
1,83035,236
1,83293,237
1,83543,238
11,83710,239
1,83885,240
1,84136,241
1,84394,242
1,84645,243
11,84811,244
1,84986,245
1,85237,246
1,85495,247
1,85746,248
11,85913,249
1,86087,250
1,86338,251
1,86596,252
1,86847,253
11,87014,254
1,87189,255
1,87439,256
1,87697,257
1,87948,258
11,88115,259
1,88290,260
1,88540,261
1,88798,262
1,89049,263
11,89216,264
1,89391,265
1,89641,266
1,89900,267
1,90150,268
11,90317,269
1,90492,270
1,90742,271
1,91001,272
1,91251,273
11,91418,274
1,91593,275
1,91843,276
1,92102,277
1,92352,278
11,92519,279
1,92695,280
1,92945,281
1,93203,282
1,93453,283
11,93620,284
1,93796,285
1,94046,286
1,94304,287
1,94554,288
11,94721,289
1,94897,290
1,95147,291
1,95406,292
1,95656,293
11,95823,294
1,95998,295
1,96248,296
1,96507,297
1,96757,298
11,96924,299
1,97099,300
1,97349,301
1,97608,302
1,97858,303
11,98025,304
1,98200,305
1,98450,306
1,98709,307
1,98959,308
1,99218,309
